风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/31 17:13,2019/3/31 17:17,289,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/31 15:12,2019/3/31 15:17,292,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/31 8:27,2019/3/31 8:32,301,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 19:02,2019/3/30 19:07,296,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 18:10,2019/3/30 18:15,290,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 17:53,2019/3/30 17:58,277,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 17:28,2019/3/30 17:33,298,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 16:54,2019/3/30 17:00,329,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 16:37,2019/3/30 16:42,299,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 16:15,2019/3/30 16:20,318,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 15:49,2019/3/30 15:53,282,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 15:01,2019/3/30 15:07,305,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 14:34,2019/3/30 14:39,305,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 14:08,2019/3/30 14:12,271,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 13:41,2019/3/30 13:46,281,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 11:04,2019/3/30 11:09,311,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 8:42,2019/3/30 8:47,277,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 8:05,2019/3/30 8:10,304,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 6:05,2019/3/30 6:10,304,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 5:41,2019/3/30 5:46,319,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/30 0:46,2019/3/30 0:51,310,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/29 23:05,2019/3/29 23:11,345,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5507,偏航自动解缆中,2019/3/29 23:05,2019/3/29 23:18,752,偏航,故障和告警
五里坡公司2号一期风电场,HFJ001,5505,右扭缆超限,2019/3/29 23:05,2019/3/29 23:07,62,偏航,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/28 6:00,2019/3/28 6:04,278,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/28 2:11,2019/3/28 2:16,306,变流器,故障和告警
五里坡公司2号一期风电场,HFJ001,5904,机组正常待机,2019/3/28 1:33,2019/3/28 1:38,294,变流器,故障和告警
